maps,nom,note,avis,metier, adresse,tel,site
,,,,,,,
,,,,,,,
https://www.google.com/maps/place/PPF+Rennes+Nord/data=!4m7!3m6!1s0x480edf2c7b9dcff1:0x171ff0cf4d1be2df!8m2!3d48.104598!4d-1.625723!16s%2Fg%2F11trlvmch5!19sChIJ8c-deyzfDkgR3-IbTc_wHxc?authuser=0&hl=fr&rclk=1,PPF Rennes Nord,5,-8,Entrepreneur spécialisé dans l'isolation,21 Rue de l'Oseraie,02 21 83 28 57,https://www.google.com/aclk?sa=L&ai=DChsSEwjs5LT2u72UAxUxf0ECHZneMgsYACICCAEQAhoCd3M&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XFrTEXHbVMdhnFzmNHk0PP-bwxPRJeBgdYHopr_FlEcekpId8scLPxoCiHoQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0CR5OWtAROLc9F2pyuzeApNC7U-g&adurl&q&ctype=99&nis=6
https://www.google.com/maps/place/Lesn%C3%A9+Service/data=!4m7!3m6!1s0x480ee7a5143e93c5:0x91770d06165f4c76!8m2!3d48.194662!4d-1.73367!16s%2Fg%2F1tmpvckw!19sChIJxZM-FKXnDkgRdkxfFgYNd5E?authuser=0&hl=fr&rclk=1,Lesné Service,"4,5",-103,Plombier,La Bourdonnais,02 99 68 82 82,https://www.google.com/aclk?sa=L&ai=DChsSEwjs5LT2u72UAxUxf0ECHZneMgsYACICCAEQBBoCd3M&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XLPlJXbDi4-gXnA0md5e-PeGU0wCQWoA2v1upVG4g72g-ff55qyhnRoCSikQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1_oqWmP0leHiEyGIvt4-uJxICnsQ&adurl&q&ctype=99&nis=6
https://www.google.com/maps/place/A2G-+Plombier+a+Rennes/data=!4m7!3m6!1s0x12b5ec46e3a93d13:0x32c7afedc92fa78b!8m2!3d48.1205077!4d-1.6657872!16s%2Fg%2F1tg2gwcf!19sChIJEz2p40bstRIRi6cvye2vxzI?authuser=0&hl=fr&rclk=1,A2G- Plombier a Rennes,"4,6",-38,Plombier,Rue de Fougères bis 90,06 79 62 17 25,http://www.a2gplomberie.fr/
https://www.google.com/maps/place/SDG+Services+Chauffage+Plomberie/data=!4m7!3m6!1s0x480edfb66a9bf2bb:0x8d384d0215c387ea!8m2!3d48.1250851!4d-1.6367723!16s%2Fg%2F11px8jdnc9!19sChIJu_KbarbfDkgR6ofDFQJNOI0?authuser=0&hl=fr&rclk=1,SDG Services Chauffage Plomberie,"4,8",-76,Chauffagiste,"Square de l, 5 Sq. Amiral André Roux",06 95 42 32 61,https://sdg-chauffage.fr/
https://www.google.com/maps/place/Fabiani-Pirio/data=!4m7!3m6!1s0x480ee0561cf5e8b1:0x8b120ac252700762!8m2!3d48.1072703!4d-1.7325113!16s%2Fg%2F11cs015cdf!19sChIJsej1HFbgDkgRYgdwUsIKEos?authuser=0&hl=fr&rclk=1,Fabiani-Pirio,"4,9",-93,Chauffagiste,4 Rue du Lieutenant Colonel Dubois,02 99 63 06 41,https://www.fabianipirio-plomberie-chauffage.com/
https://www.google.com/maps/place/Artisan+D%C3%A9pannage+des+Usagers/data=!4m7!3m6!1s0x480ede24b3a797e7:0xda2fd5eb86f085f3!8m2!3d48.0884167!4d-1.6391781!16s%2Fg%2F1tg39hg_!19sChIJ55ensyTeDkgR84XwhuvVL9o?authuser=0&hl=fr&rclk=1,Artisan Dépannage des Usagers,"4,9",-156,Chauffagiste,5 Rue Jean Monnet,06 98 75 35 35,http://www.depannage-electricite-plomberie-rennes.fr/
https://www.google.com/maps/place/A.D.M+Chauffage+et+Plomberie/data=!4m7!3m6!1s0x480ee22b7dd3ffff:0xb343ed06bc40d1f9!8m2!3d48.0869902!4d-1.7394412!16s%2Fg%2F11pzklfmw5!19sChIJ___TfSviDkgR-dFAvAbtQ7M?authuser=0&hl=fr&rclk=1,A.D.M Chauffage et Plomberie,"4,9",-117,Chauffagiste,·,07 83 12 73 94,https://www.adm-chauffageetplomberie.fr/contact
https://www.google.com/maps/place/Allo+Mario/data=!4m7!3m6!1s0x480ede2b3edd6663:0x11b95ca28f775e92!8m2!3d48.1084803!4d-1.6923843!16s%2Fg%2F1tx14s1k!19sChIJY2bdPiveDkgRkl53j6JcuRE?authuser=0&hl=fr&rclk=1,Allo Mario,"4,5",-137,Plombier,81 Mail François Mitterrand,06 66 89 40 73,http://www.allomario.fr/
