Ville,Pisciniste,Chauffagiste,Couvreur,Paysagiste,bardage,cloture
Paris,2,8,8,8,8,8
Marseille,0,8,8,8,8,3
Lyon,1,8,8,8,8,8
Toulouse,2,6,8,7,8,8
Nice,1,8,8,5,6,2
Nantes,1,5,8,8,8,2
Montpellier,1,8,8,8,6,8
Strasbourg,0,5,8,5,2,1
Bordeaux,1,8,8,8,8,8
Lille,0,8,8,2,6,0
Rennes,1,2,8,2,5,1
Reims,0,2,8,1,2,0
Le Havre,0,2,8,2,2,2
Saint-Étienne,1,5,8,2,5,1
Toulon,0,8,8,2,8,2
Grenoble,0,6,8,6,5,1
Dijon,0,5,8,6,2,2
Angers,0,2,8,2,5,1
Nîmes,0,7,8,8,2,8
Villeurbanne,1,8,8,8,8,8
Saint-Denis (93),1,8,8,8,8,8
Aix-en-Provence,1,8,8,8,8,2
Clermont-Ferrand,1,5,8,1,8,2
Le Mans,0,2,8,3,2,0
Brest,0,5,8,1,8,1
Tours,0,2,8,8,5,2
Amiens,0,2,8,2,2,0
Limoges,1,3,8,0,1,0
Annecy,1,8,8,8,6,5
Boulogne-Billancourt,2,8,8,8,8,8
Perpignan,1,2,8,1,2,1
Metz,0,7,8,6,7,2
Besançon,0,2,8,1,2,1
Orléans,0,7,8,8,1,2
Rouen,0,6,8,2,2,2
Saint-Denis (974),mort,mort,mort,mort,mort,mort
Argenteuil,2,8,8,8,8,6
Mulhouse,1,5,8,2,2,0
Montreuil,1,8,8,8,8,8
Caen,0,5,8,6,2,2
Nancy,0,8,8,2,7,1
Saint-Paul (974),mort,mort,mort,mort,mort,mort
Tourcoing,0,8,8,2,5,0
Roubaix,0,8,8,2,5,0
Nanterre,2,8,8,8,8,8
Vitry-sur-Seine,1,8,8,8,8,8
Avignon,0,8,8,5,5,0
Créteil,1,8,8,8,8,8
Dunkerque,0,8,8,2,6,0
Poitiers,0,2,8,1,2,0
Asnières-sur-Seine,0,8,8,8,8,8
Courbevoie,2,8,8,8,8,7
Versailles,2,7,8,8,8,8
Colombes,2,8,8,8,8,8
Fort-de-France,mort,mort,mort,mort,mort,mort
Aulnay-sous-Bois,1,8,8,8,7,8
La Rochelle,0,2,8,0,7,0
Champigny-sur-Marne,1,8,8,8,8,8
Rueil-Malmaison,1,8,8,8,8,8
Cherbourg-en-Cotentin,0,2,8,2,2,2
Pau,1,2,8,8,8,8
Antibes,0,8,8,2,6,2
Saint-Maur-des-Fossés,1,8,8,8,8,8
Calais,0,5,8,2,6,0
Béziers,0,2,8,8,7,6
Cannes,0,8,8,2,6,2
Le Tampon,mort,mort,mort,mort,mort,mort
Saint-Nazaire,1,2,8,8,2,2
Mérignac,1,8,8,8,8,8
Drancy,1,8,8,8,8,8
Ajaccio,0,1,8,0,0,1
Issy-les-Moulineaux,0,8,8,8,8,8
Noisy-le-Grand,1,8,8,7,8,8
Levallois-Perret,1,8,8,8,8,8
Colmar,1,5,8,2,8,8
Bourges,0,2,8,2,6,2
La Seyne-sur-Mer,0,8,8,2,8,2
Valence,0,5,8,7,6,8
Quimper,0,8,8,5,2,1
Villeneuve-d'Ascq,0,8,8,8,8,8
Neuilly-sur-Seine,0,2,8,8,6,0
Pessac,0,2,8,5,5,1
Vénissieux,1,2,8,8,2,0
Cergy,2,5,8,2,2,2
Clichy,0,8,8,2,5,1
Troyes,1,6,8,1,8,2
Ivry-sur-Seine,1,5,8,2,5,1
Lorient,0,2,8,2,2,2
Chambéry,0,7,8,2,5,1
Beauvais,0,8,8,6,2,8
Niort,0,8,8,6,8,8
Sarcelles,0,8,8,2,8,8
Montauban,1,5,8,8,8,2
Hyères,1,2,8,8,8,2
Saint-Quentin,0,5,8,8,2,0
Pantin,1,2,8,8,8,1
Villejuif,1,2,8,1,5,2
Maisons-Alfort,0,3,8,3,2,0
Évry-Courcouronnes,1,8,8,1,1,0
Chelles,0,8,8,8,6,5
Meaux,1,2,8,2,8,8
Épinay-sur-Seine,0,7,8,0,2,1
Bondy,0,2,8,8,7,2
Le Blanc-Mesnil,0,7,8,8,2,1
Fréjus,1,6,8,1,1,2
Saint-Herblain,1,5,8,6,2,2
Cagnes-sur-Mer,0,8,8,1,8,8
Bobigny,0,8,8,8,6,2
Sevran,0,2,8,2,8,2
Vincennes,1,2,8,7,6,8
Clamart,0,2,8,5,2,1
Évreux,1,5,8,8,8,8
Vannes,1,8,8,8,6,0
Suresnes,1,6,8,5,5,1
Narbonne,1,5,8,8,2,0
Massy,0,2,8,2,2,2
Brive-la-Gaillarde,1,7,8,2,5,1
Carcassonne,1,8,8,1,8,2
Saint-Priest,1,8,8,2,5,1
Albi,0,8,8,2,2,2
Bayonne,0,5,8,2,5,1
Corbeil-Essonnes,1,2,8,6,2,8
Cholet,1,5,8,6,8,8
Aubervilliers,1,2,8,2,8,8
Martigues,0,2,8,8,8,2
Saint-André (974),0,3,8,8,8,2
Salon-de-Provence,0,8,8,8,2,0
Bourg-en-Bresse,0,8,8,8,8,1
Saint-Brieuc,0,2,8,1,5,2
Sète,0,7,8,3,2,0
Saint-Louis (974),0,2,8,1,1,0
Châteauroux,1,7,8,8,6,5
Charleville-Mézières,2,6,8,2,8,8
Belfort,0,5,8,0,2,1
Saint-Malo,1,8,8,8,7,2
Boulogne-sur-Mer,1,8,8,8,2,1
Chalon-sur-Saône,0,2,8,1,1,2
Bastia,0,2,8,6,2,2
Alfortville,0,2,8,1,8,8
Wattrelos,0,5,8,8,6,2
Rosny-sous-Bois,0,8,8,2,8,2
Sartrouville,1,6,8,7,6,8
Saint-Laurent-du-Maroni,1,5,8,5,2,1
Tarbes,0,2,8,8,8,8
Compiègne,1,7,8,8,6,0
Saint-Ouen-sur-Seine,1,8,8,5,5,1
Châlons-en-Champagne,0,8,8,8,2,0
Gap,1,8,8,2,2,2
Garges-lès-Gonesse,0,5,8,2,5,1
Talence,0,8,8,8,8,7
Le Cannet,0,5,8,2,5,1
Castres,0,2,8,2,2,2
Stains,0,2,8,2,5,1
Arles,1,3,8,6,2,8
Draguignan,1,8,8,6,8,8
Pontault-Combault,0,8,8,2,8,8
Bagneux,0,2,8,8,8,2
Annemasse,0,7,8,8,8,2
Anglet,1,2,8,8,2,0
Thionville,0,7,8,8,8,1
Joué-lès-Tours,1,6,8,1,5,2
Melun,1,5,8,3,2,0
Bezons,1,8,8,1,1,0
Goussainville,1,8,8,8,6,5
Grasse,0,2,8,2,8,8
Le Lamentin,1,2,8,0,2,1
Laval,1,2,8,8,7,2
Mantes-la-Jolie,1,5,8,8,2,1
Marcq-en-Barœul,0,8,8,1,1,2
Villenave-d'Ornon,0,6,8,6,2,2
Villepinte,1,5,8,1,8,8
Vaulx-en-Velin,1,2,8,8,6,2
Châtillon,1,7,8,2,8,2
Saint-Germain-en-Laye,0,8,8,7,6,8
Livry-Gargan,0,8,8,5,2,1
Gennevilliers,0,8,8,8,8,8
Choisy-le-Roi,0,5,8,8,6,0
Caluire-et-Cuire,0,2,8,5,5,1
Blois,0,5,8,8,2,0
Meudon,0,2,8,2,2,2
Saint-Médard-en-Jalles,1,2,8,2,5,1
Bron,2,3,8,1,8,2
Saint-Martin-d'Hères,0,8,8,2,5,1
Marignane,1,8,8,2,2,2
Rezé,1,2,8,2,5,1
Montrouge,0,7,8,6,2,8
Houilles,0,2,8,6,8,8
La Roche-sur-Yon,0,7,8,2,8,8
Échirolles,0,6,8,8,8,2
Villefranche-sur-Saône,0,5,8,8,8,2
Schiltigheim,1,8,8,8,2,0
Vigneux-sur-Seine,1,8,8,8,8,1
Plaisir,0,2,8,1,5,2
Chatou,1,2,8,3,2,0
Bagnolet,1,2,8,1,1,0
Le Perreux-sur-Marne,0,5,8,8,6,5
