id,company_name,website,categorie,employees,revenue,city,region,description,emails_found,best_email,best_email_quality,phones_found,best_phone,status
d1887577686ddeaa1322894b4ab842c4,GREEN TP,https://greentp.fr,Construction,11-50,1M-5M,saint-jean-d'illac,nouvelle-aquitaine,"Un chantier vert mais pas plus cher !  La societe GREEN TP se veut competitive par rapport a ses concurrentes mais pour autant se demarque par son attention envers lenvironnement. En effet, bien que GREEN TP vous propose lintegralite des prestations pouvant embellir vos exterieurs, elle simpose detr",,,,,,no_contact
6af2b1c71390eedd1f7606747f7dd377,AcBd Créativ',https://acbd-creativ.fr,Construction,1-10,500K-1M,montereau-faut-yonne,île-de-france,"Beton Drainant  Clotures  Galets, Graviers...  Devis sur demande",contact@acbd-creativ.fr,contact@acbd-creativ.fr,high,06 50 64 55 90,06 50 64 55 90,ok_both
2b922c2af8d201ecc77d131551e48965,SOTHOFERM,https://sothoferm.fr,Construction,51-200,10M-25M,mauzé thouarsais,,"Specialiste de la fermeture pour le batiment : volets, portes de garages, persiennes, portails, en bois, pvc, aluminium, acier... Quil sagisse dhabitat neuf ou de renovation, SOTHOFERM, entreprise francaise independante est specialisee, depuis plus de 20 ans, dans la fabrication sur mesure de vos fe",,,,05 49 66 66 64,05 49 66 66 64,ok_phone
c9651576d7dda5eb98efbe2f21f5b99e,Richelieu Rénovation,https://richelieu-renovation.com,Construction,11-50,1M-5M,paris,île-de-france,"Redistribuer les espaces, creer de nouvelles pieces, redessiner une cuisine ou creer une nouvelle salle de bain. Depuis plus de 15 ans, les equipes de Richelieu travaillent main dans la main avec les architectes et les decorateurs. Menuiserie, peinture, electricite, plomberie, gestion de projet... N",contact@richelieu-renovation.com,contact@richelieu-renovation.com,high,,,ok_email
8cd8815c0d679ede5ae704654c96be54,Installux Aluminium & Partenaires,https://installux-aluminium.com,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,saint-bonnet-de-mure,auvergne-rhône-alpes,"Installux est un gammiste francais, concepteur et distributeur de systemes aluminium, profiles et accessoires. La large gamme de produits hautes performances quil concoit et propose aux professionnels de la menuiserie aluminium est utilisee pour fabriquer des solutions sur mesure destinees aux march",,,,02 51 84 34 00,02 51 84 34 00,ok_phone
cd5e132ecbda190065925da2b93b9c9d,fischer France,https://fischer.fr/fr-fr,Construction,51-200,10M-25M,strasbourg,,"fischer, l'innovation au quotidien ! Des systemes dancrages pour les professionnels aux chevilles courantes utilisees par des bricoleurs, fischer, en sa qualite de specialiste, possede la solution de fixation adaptee a tous les besoins. Entreprise familiale allemande de renommee mondiale, fischer a ",,,,03 88 39 18 67,03 88 39 18 67,ok_phone
a34bb3d76a8d6028340614c55e7d3c70,FORESTIA Group,https://forestia-group.com,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,lambersart,,"The Forestia Group design and distribute environmentally-friendly landscaping products. Reliable, sustainable, bio-sourced products with a low carbon footprint. Wood and wood composite products for decking, fencing and cladding, as well as planters, garden sheds, pergolas and carports. Forestia Grou",,,,,,no_contact
a2774747f2d72da0c25bcf9ec56b82e9,Carrières et Bétons BRONZO PERASSO,https://bronzoperasso.fr,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,,,"Entreprise marseillaise, Bronzo Perasso beneficie d'une notoriete importante dans le departement et d'un maillage optimum pour assurer une livraison fluide sur les chantiers. Les trois principaux poles d'activites de BRONZO PERASSO sont : - L'exploitation de carrieres - La production et la vente de ",contact@bronzoperasso.fr;rgpd@bronzoperasso.fr,contact@bronzoperasso.fr,high,04 91 17 08 08;04 91 75 45 21,04 91 17 08 08,ok_both
d8ebbffb830613906f1f5ea7bf516005,Agence Qualité Construction,https://qualiteconstruction.com,Construction,51-200,10M-25M,paris,,"L'Agence Qualite Construction (AQC), association reconnue d'interet general, regroupe l'ensemble des organisations professionnelles autour dune mission collective : prevenir les desordres dans le batiment et ameliorer la qualite de la construction. Quelles actions menons-nous pour cela ? Toutes nos ",aqc@qualiteconstruction.com,aqc@qualiteconstruction.com,high,01 44 51 03 51,01 44 51 03 51,ok_both
256ace3d8a7b4aa3d06bbbfef0fa3d15,Locabarrière,https://locabarriere.com,Construction,1-10,500K-1M,st.-gratien,île-de-france,"Location et vente de barrieres, palissades et signalisation pour tous vos chantiers ainsi que la pose",contact@locabarriere.com,contact@locabarriere.com,high,01 34 21 12 37,01 34 21 12 37,ok_both
a4cf96f7113e84227ba09b15b9bdc444,Les Compagnons de Saint-Jacques,https://lescompagnonsdesaintjacques.fr,Construction,51-200,10M-25M,barbezieux st hilaire,,"Specialises dans la restauration du patrimoine ancien et historique en Aquitaine et dans les Charentes, les Compagnons de Saint Jacques sont reconnus depuis plus de 50 ans pour la qualite de leur travail. Associes aux ouvrages les plus prestigieux comme les plus modestes, les Compagnons de Saint-Jac",charentes@lcsj.fr;aquitaine@lcsj.fr,charentes@lcsj.fr,low,05 45 78 19 38;05 59 45 35 03;05 56 78 80 47;05 46 42 86 22,05 45 78 19 38,ok_both
e94ccc4cef6c5da6681f5cb9e7c58c0e,Femat,https://femat.fr,Lumber and Other Construction Materials Merchant W,11-50,10M-25M,dardilly,auvergne-rhône-alpes,"Femat distribue des materiaux et solutions pour le marche de la renovation energetique et du batiment performant. Notre objectif est de promouvoir une vision nouvelle du batiment, guidant les pratiques d'aujourd'hui, vers celles de demain. Apporter du conseil tout en fournissant les bons materiaux, ",info@femat.fr;agence.lyon-est@femat.fr;agence.lyon-ouest@femat.fr;info@themerex.net,info@femat.fr,high,04 82 29 05 04;04 78 64 97 66;04 82 29 13 64,04 82 29 05 04,ok_both
bbbe0a6cc09dbceaa8064d21361a4674,MENUISERIE NICOLAS BESNARD,https://menuiserie-nicolas-besnard.fr,Construction,11-50,1M-5M,,,"L'entreprise MENUISERIE NICOLAS BESNARD a ete cree il y a 12 ans, en fevrier 2011. Nous intervenons sur le marche de la renovation de l'habitat, plus particulierement dans le domaine de la menuiserie / fermeture et l'isolation interieure et exterieure. L'entreprise compte actuellement 29 salaries.",,,,,,no_contact
5cab7cea9279351729a699a00842142e,C'CLÔT,https://cclot.fr,Construction,11-50,1M-5M,,,"C'CLOT: LA PUISSANCE DUN GROUPE Membre du groupement mondial des cloturiste 'UNIFENCE', nous sommes en etroite collaboration avec nos partenaires, nationaux et mondiaux, afin de vous proposer lexcellence dans le monde de la cloture. VASTE GAMME DE PRODUITS DISPONIBLES EN STOCK Nous stockons tout le ",contact@cclot.fr;lyon@cclot.fr;valence@cclot.fr,contact@cclot.fr,high,04 78 88 01 00;04 75 41 72 20,04 78 88 01 00,ok_both
512b74dbfc857e266754909320e411df,SODITRADE,https://soditrade.com,Construction,1-10,500K-1M,stains,,"Fournisseur de l'enveloppe acier du batiment: panneaux a joint debout acier, toles de toiture et panneaux tuiles.",contact@soditrade.com,contact@soditrade.com,high,,,ok_email
810d0fce23e30ea46543a5612296753d,"SOFTICA, ACTIVATEUR D'ACCÈS",https://softica.fr,Construction,51-200,10M-25M,,,"SOFTICA est un fabricant francais de portes automatiques. SOFTICA concoit, fabrique, commercialise et maintient sa propre gamme de portes automatiques pietonnes, etanches, communicantes et dinterieur. Implantee en France, pres de Chambery (Savoie), Softica est a votre service par le biais d'agences ",,,,04 79 63 00 94,04 79 63 00 94,ok_phone
5fd056ec625c5ac6d20a0adfb8c2b03d,METAL 360,https://metal360.fr,Construction,11-50,1M-5M,,,METAL 360 est une entreprise basee sur la conception d'ouvrage metallique haut de gamme.,contact@metal360.fr;contact@webflow.com,contact@metal360.fr,high,06 41 99 00 29,06 41 99 00 29,ok_both
0fd775a99b7a72f88e4dd7c855ecc7d6,GYPASS,https://gypass.fr,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,envermeu,normandie,"Depuis 1992, nous concevons et fabriquons, en Normandie, des ouvrants exterieurs en acier et aluminium personnalisables. Specialiste historique et reconnu de la porte de garage, notre entreprise a su evoluer vers une production sur-mesure alliant savoir-faire artisanal et technologies de pointe. Nou",,,,02 35 85 98 20,02 35 85 98 20,ok_phone
788e5d728c1cb4050164ef0c6a9824bb,Maurer Habitat,https://maurer-habitat.fr,Construction,11-50,1M-5M,,,"Specialisees dans le domaine de l'electricite, du sanitaire, de la pose de sols et de peintures. Les equipes de la societe Maurer sont a votre disposition pour vos travaux de construction, de renovation ou d'agrandissement, que ce soit dans votre residence principale, vos investissements locatifs ou",,,,,,no_contact
527333557306a700510aef987edbfc83,SAFIR - Groupe ACCEDIA,https://portesafir.com,Wood Product Manufacturing,51-200,10M-25M,buchelay,île-de-france,"SAFIR est specialise dans la conception et la fabrication sur-mesure de portes automatiques pour le collectif, lindustrie et le residentiel. 100% des produits SAFIR sont assembles en France sur son site de Gargenville (78) et de Cuvilly (60) afin de garantir a ses clients des delais et une qualite d",contact@portesafir.com;contact.safir@portesafir.com;contact@faciliteam.fr;contact@accedia.net,contact@portesafir.com,high,01 34 97 36 00;03 44 85 33 70;01 84 73 06 25,01 34 97 36 00,ok_both
e7e6d0a57661177ab74c255de81258bb,HORIZAL - Fabricant de garde-corps,https://horizal.com,Wood Product Manufacturing,51-200,10M-25M,domarin,,"Horizal : fabricant francais de garde-corps aluminium Depuis 50 ans, Horizal concoit et personnalise des garde-corps en aluminium afin de vous permettre de beneficier de produits design et durables. Horizal est egalement fabricant de portails, clotures et barrieres de piscine en aluminium. Horizal v",,,,04 74 93 25 35;06 26 33 32 72,04 74 93 25 35,ok_phone
9dc6a23af1cf846b9b9c9d37ea4bf916,Cycle Up,https://cycle-up.fr,Wood Product Manufacturing,51-200,10M-25M,,,"Creee en 2017, CYCLE UP developpe et opere une solution globale deconomie circulaire pour le reemploi des materiaux de construction. Ses trois activites principales sont : - Le conseil et etudes en reemploi pour tous les acteurs du batiment - La marketplace www.cycle-up.fr permettant lachat et la ve",contact@cycle-up.fr;dpo@cycle-up.fr,contact@cycle-up.fr,high,01 44 07 67 38,01 44 07 67 38,ok_both
5ee4df40ba1a5190bdf7eb6bff7e00a9,Maisons SIC - Construction / Rénovation,https://sic-habitat.com,Construction,51-200,10M-25M,tonneins,,"Notre equipe dynamique, experte en construction de maisons individuelles et renovation, rassemble une trentaine de talents sur les chantiers : macons, charpentiers, couvreurs, plaquistes et carreleurs. En collaboration avec des artisans locaux tries sur le volet pour leur excellence, nous assurons u",contact@maisons-sic.com;info@l-concept.com,contact@maisons-sic.com,low,05 53 84 83 82;09 71 05 53 84;05 55 01 36 26;05 53 66 32 65,05 53 84 83 82,ok_both
cbace6a8cbbcad773fe6207302239269,"AquaTerra Solutions gabions, génie végétal et contrôle de l'érosion",https://aquaterra-solutions.fr,Lumber and Other Construction Materials Merchant W,11-50,10M-25M,le pouzin,,"En alternative au genie civil, AquaTerra Solutions propose des solutions plus respectueuses de l'environnement, fiables, de mise en uvre facile et plus competitives. Specialiste du controle de l'erosion et des gabions, concepteur, producteur et distributeur de solutions techniques pour le controle d",contact@aquaterra-solutions.fr;logistique@aquaterra-solutions.fr;erosion@aquaterra-solutions.fr;direction@aquaterra-solutions.fr;gabions@aquaterra-solutions.fr,contact@aquaterra-solutions.fr,high,04 75 63 84 68;04 75 63 84 41;04 75 63 84 52;04 75 63 84 35;04 75 63 84 40,04 75 63 84 68,ok_both
9d0782ecd693ec4402decd7ec8b2f3af,Gripple Europe Group,https://gripple.com/en-eu,Construction,51-200,10M-25M,,,"Leading manufacturer in the market, offering simple and innovative solutions to customers worldwide to save time. With a principle of challenging conventional wisdom, Gripple offers innovative and patented products that not only result in significant cost and labor savings, but also enhance aestheti",,,,,,no_contact
ffcaeefc791ee7ab7be673782e6646c2,France Bois 2024,https://francebois2024.com,Construction,1-10,500K-1M,paris,île-de-france,"Le projet France Bois 2024 a ete mis en place pour favoriser lutilisation des solutions de construction et damenagement en bois, notamment francais, dans les realisations des JO. Il vise a faciliter la participation des entreprises de la filiere, engagees a relever le defi, tant le bois est incontou",contact@francebois2024.com;contact@francebois2030.com;manuella@mflcommunication.com,contact@francebois2024.com,high,06 79 12 89 28,06 79 12 89 28,ok_both
d15982038db5c4b8dd25b045f8b348be,CISABAC,https://cisabac.com,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,corbeil-essonnes,île-de-france,"""When the quality of the materials meets the know-how of the professional"" The LGI group, specialist in site fencing for over 25 years and specialist in the building envelope for over 30 years, covers the whole of France by bringing together 9 companies, nearly 200 employees and more than 2500 custo",,,,,,no_contact
3e608dd41f3af48fa87dd83a27550218,Sky'inLab,https://skyinlab.fr,Construction,51-200,10M-25M,montastruc-la-conseillère,occitanie,"SkyinLab, PARTOUT EN FRANCE / Leader de la reparation apres-sinistre de tous les supports ALU-ACIER-PVC du batiment / Service de serrurerie National integre. + Chiffrage sur photos + Devis en 48h + Bordereaux de prix faciles REPARATION ET LAQUAGE DE TOUS LES SUPPORTS ALU - ACIER - PVC DU BATIMENT --",,,,05 32 09 32 93,05 32 09 32 93,ok_phone
56874b8b93653a0594ddea4d456ef965,SELFBETON,https://selfbeton.fr,Lumber and Other Construction Materials Merchant W,1-10,1M-5M,,,"Le distributeur automatique de beton Selfbeton delivre des petites quantites de beton pret a l'emploi en mode ""beton-drive"". La production du beton se fait instantanement a la demande, sur simple achat directement a la borne de paiement.",contact@selfbeton.fr,contact@selfbeton.fr,high,03 87 78 78 32,03 87 78 78 32,ok_both
6884d306a42e725205c2b90439c0475f,Geplast_fr,https://geplast.fr,Construction,51-200,10M-25M,,,"Chez Geplast, nous concevons et fabriquons des profiles thermoplastiques sur mesure pour repondre aux besoins exigeants des professionnels. Forts dun savoir-faire reconnu en extrusion, nous intervenons dans des secteurs varies : batiment, industrie, amenagement interieur et exterieur, naval, agricul",,,,02 41 49 80 90,02 41 49 80 90,ok_phone
