id,company_name,website,categorie,employees,revenue,city,region,description
d8ebbffb830613906f1f5ea7bf516005,Agence Qualité Construction,https://qualiteconstruction.com,Construction,51-200,10M-25M,paris,,"L'Agence Qualite Construction (AQC), association reconnue d'interet general, regroupe l'ensemble des organisations professionnelles autour dune mission collective : prevenir les desordres dans le batiment et ameliorer la qualite de la construction. Quelles actions menons-nous pour cela ? Toutes nos "
9dc6a23af1cf846b9b9c9d37ea4bf916,Cycle Up,https://cycle-up.fr,Wood Product Manufacturing,51-200,10M-25M,,,"Creee en 2017, CYCLE UP developpe et opere une solution globale deconomie circulaire pour le reemploi des materiaux de construction. Ses trois activites principales sont : - Le conseil et etudes en reemploi pour tous les acteurs du batiment - La marketplace www.cycle-up.fr permettant lachat et la ve"
df3ee9e29cf29d4f2f67c2bb6fa1ca4b,Reynaers Aluminium France,https://reynaers.fr,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,lieusaint,,"Chez Reynaers Aluminium France, lhumain est au cur de notre reussite. Notre ambition : batir la meilleure equipe, guidee par nos valeurs : Audace, Bienveillance, Passion et Union. Le bien-etre de nos equipes est essentiel. Cette approche a ete reconnue par notre certification Great Place To Work, ga"
cbace6a8cbbcad773fe6207302239269,"AquaTerra Solutions gabions, génie végétal et contrôle de l'érosion",https://aquaterra-solutions.fr,Lumber and Other Construction Materials Merchant W,11-50,10M-25M,le pouzin,,"En alternative au genie civil, AquaTerra Solutions propose des solutions plus respectueuses de l'environnement, fiables, de mise en uvre facile et plus competitives. Specialiste du controle de l'erosion et des gabions, concepteur, producteur et distributeur de solutions techniques pour le controle d"
cd5e132ecbda190065925da2b93b9c9d,fischer France,https://fischer.fr/fr-fr,Construction,51-200,10M-25M,strasbourg,,"fischer, l'innovation au quotidien ! Des systemes dancrages pour les professionnels aux chevilles courantes utilisees par des bricoleurs, fischer, en sa qualite de specialiste, possede la solution de fixation adaptee a tous les besoins. Entreprise familiale allemande de renommee mondiale, fischer a "
8cd8815c0d679ede5ae704654c96be54,Installux Aluminium & Partenaires,https://installux-aluminium.com,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,saint-bonnet-de-mure,auvergne-rhône-alpes,"Installux est un gammiste francais, concepteur et distributeur de systemes aluminium, profiles et accessoires. La large gamme de produits hautes performances quil concoit et propose aux professionnels de la menuiserie aluminium est utilisee pour fabriquer des solutions sur mesure destinees aux march"
e94ccc4cef6c5da6681f5cb9e7c58c0e,Femat,https://femat.fr,Lumber and Other Construction Materials Merchant W,11-50,10M-25M,dardilly,auvergne-rhône-alpes,"Femat distribue des materiaux et solutions pour le marche de la renovation energetique et du batiment performant. Notre objectif est de promouvoir une vision nouvelle du batiment, guidant les pratiques d'aujourd'hui, vers celles de demain. Apporter du conseil tout en fournissant les bons materiaux, "
a2774747f2d72da0c25bcf9ec56b82e9,Carrières et Bétons BRONZO PERASSO,https://bronzoperasso.fr,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,,,"Entreprise marseillaise, Bronzo Perasso beneficie d'une notoriete importante dans le departement et d'un maillage optimum pour assurer une livraison fluide sur les chantiers. Les trois principaux poles d'activites de BRONZO PERASSO sont : - L'exploitation de carrieres - La production et la vente de "
256ace3d8a7b4aa3d06bbbfef0fa3d15,Locabarrière,https://locabarriere.com,Construction,1-10,500K-1M,st.-gratien,île-de-france,"Location et vente de barrieres, palissades et signalisation pour tous vos chantiers ainsi que la pose"
2b922c2af8d201ecc77d131551e48965,SOTHOFERM,https://sothoferm.fr,Construction,51-200,10M-25M,mauzé thouarsais,,"Specialiste de la fermeture pour le batiment : volets, portes de garages, persiennes, portails, en bois, pvc, aluminium, acier... Quil sagisse dhabitat neuf ou de renovation, SOTHOFERM, entreprise francaise independante est specialisee, depuis plus de 20 ans, dans la fabrication sur mesure de vos fe"
