niche_source,company_name,google_maps_url,google_rating,google_review_count,category_google,address,city,phone,website
bardage,Rénovation Appartement Strasbourg,https://www.google.com/maps/place/R%C3%A9novation+Appartement+Strasbourg/data=!4m7!3m6!1s0x4796c9a9ad2c147d:0x5c2d64852d1bb626!8m2!3d48.560618!4d7.737394!16s%2Fg%2F11ft44rh_l!19sChIJfRQsranJlkcRJrYbLYVkLVw?authuser=0&hl=fr&rclk=1,,,Entreprise de construction,76 Rue de la Plaine des Bouchers,,0388603165,https://www.google.com/aclk?sa=L&ai=DChsSEwjhjoHegr6UAxWhm2gJHZ14PS4YACICCAEQAxoCd2Y&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XHNOJD5r0x1osivcm0iubX2VcS-SdFIHPvMXxzFo9mWZQ7gVSxBAaBoCXl4QAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3P2_Tc-3ug-1CCV7YNGwmDKZZeVQ&adurl&q&ctype=99&nis=6
bardage,Avenir Rénovations Strasbourg,https://www.google.com/maps/place/Avenir+R%C3%A9novations+Strasbourg/data=!4m7!3m6!1s0x47914ba518b5b94f:0x2da883cd4e0fd620!8m2!3d48.421747!4d7.658657!16s%2Fg%2F11srz0ztp1!19sChIJT7m1GKVLkUcRINYPTs2DqC0?authuser=0&hl=fr&rclk=1,4.6,11,Travaux généraux,6 Rue du Printemps,,0353640104,https://www.google.com/aclk?sa=L&ai=DChsSEwjhjoHegr6UAxWhm2gJHZ14PS4YACICCAEQARoCd2Y&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XEEz2aU7uQu06b9JcQs2eSgjNYhyF6uNXSc2sQdU-enxnlbd2FLEoBoC8PkQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1yIQ08ey6_K5gQoXpOmcCu-SMo6w&adurl&q&ctype=99&nis=6
bardage,ADER BARDAGE,https://www.google.com/maps/place/ADER+BARDAGE/data=!4m7!3m6!1s0x4796c74e634fb275:0xfec52216b726a444!8m2!3d48.658054!4d7.829006!16s%2Fg%2F11p0ckbg7p!19sChIJdbJPY07HlkcRRKQmtxYixf4?authuser=0&hl=fr&rclk=1,3.7,3,Entrepreneur spécialisé dans l'isolation,13 Rue du Château d'Angleterre,,0367100442,https://ader-bardage.fr/
bardage,Sarl Toiture Bardage d'Alsace,https://www.google.com/maps/place/Sarl+Toiture+Bardage+d%27Alsace/data=!4m7!3m6!1s0x4796c84a4f1944a3:0x6d58807f4cba3f4f!8m2!3d48.5832912!4d7.7373622!16s%2Fg%2F11c55tsrh3!19sChIJo0QZT0rIlkcRTz-6TH-AWG0?authuser=0&hl=fr&rclk=1,,,Entreprise de construction,14 Rue de la Course,,0760046940,
bardage,Fischer Bois,https://www.google.com/maps/place/Fischer+Bois/data=!4m7!3m6!1s0x4796c9513102950d:0xb74c5d228810577f!8m2!3d48.5416483!4d7.78917!16s%2Fg%2F1tcxc45b!19sChIJDZUCMVHJlkcRf1cQiCJdTLc?authuser=0&hl=fr&rclk=1,4.7,104,Menuisier,·,,0388792900,http://www.fischer-bois.com/?utm_source=gmb
bardage,SOPREMA Entreprises et services SOPRASSISTANCE,https://www.google.com/maps/place/SOPREMA+Entreprises+et+services+SOPRASSISTANCE/data=!4m7!3m6!1s0x4796cb6f3286b563:0x51dc4db026e385a2!8m2!3d48.5355697!4d7.7873661!16s%2Fg%2F11sh55cf3t!19sChIJY7WGMm_LlkcRooXjJrBN3FE?authuser=0&hl=fr&rclk=1,3.8,38,Entreprise d'étanchéité,·,,0388798479,https://www.soprema-entreprises.fr/entite/agence/entreprise-etancheite-strasbourg/?utm_source=gmb
bardage,YASART - isolation extérieure | ravalement de façade,https://www.google.com/maps/place/YASART+-+isolation+ext%C3%A9rieure+%7C+ravalement+de+fa%C3%A7ade/data=!4m7!3m6!1s0x62eca5b23de5629b:0xb47c2b797b85641!8m2!3d48.6133063!4d7.7402639!16s%2Fg%2F11vf9bj81y!19sChIJm2LlPbKl7GIRQVa4l7fCRws?authuser=0&hl=fr&rclk=1,5.0,24,Entrepreneur spécialisé dans l'isolation,·,,0766521853,https://www.yasart.fr/
bardage,DINEGO SARL,https://www.google.com/maps/place/DINEGO+SARL/data=!4m7!3m6!1s0x4796c958146cf6fd:0xfef483e1059dae16!8m2!3d48.5363473!4d7.7824907!16s%2Fg%2F11b7qv8mrm!19sChIJ_fZsFFjJlkcRFq6dBeGD9P4?authuser=0&hl=fr&rclk=1,4.9,11,Constructeur de terrasses,"MÉLÈZE - ALSACE, 16 Rue de Cherbourg",,0698613072,http://www.terrasse-bardage-bois.fr/
bardage,Charpente Christmann Rénov',https://www.google.com/maps/place/Charpente+Christmann+R%C3%A9nov%27/data=!4m7!3m6!1s0x438bcf3f66ca6a03:0x5b8a996926a4e4ee!8m2!3d48.5902408!4d7.7422064!16s%2Fg%2F11w1_863pv!19sChIJA2rKZj_Pi0MR7uSkJmmZils?authuser=0&hl=fr&rclk=1,5.0,41,Charpentier,3 Rue de Bischwiller,,0783105522,http://www.christmannrenov.fr/
bardage,Multi Travaux ALSACE,https://www.google.com/maps/place/Multi+Travaux+ALSACE/data=!4m7!3m6!1s0x4796c7dc5cdb6971:0xa7b26acf25441859!8m2!3d48.560618!4d7.737394!16s%2Fg%2F11cfgz8_1!19sChIJcWnbXNzHlkcRWRhEJc9qsqc?authuser=0&hl=fr&rclk=1,4.9,119,Entreprise de construction,76 Rue de la Plaine des Bouchers,,0388603165,https://www.google.com/aclk?sa=L&ai=DChsSEwiqwtLsgr6UAxUALAYAHQWhKoQYACICCAEQARoCd3M&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XLj7ZWskn1GrJSvGj5OgJ1gD8m-mQZZfkpwseq36WtRWmmJyHdWcpBoCU-kQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3pioW1RG3n0mhUHK2vbOiXDe-wag&adurl&q&ctype=99&nis=6
bardage,Avenir Rénovations Strasbourg,https://www.google.com/maps/place/Avenir+R%C3%A9novations+Strasbourg/data=!4m7!3m6!1s0x47914ba518b5b94f:0x2da883cd4e0fd620!8m2!3d48.421747!4d7.658657!16s%2Fg%2F11srz0ztp1!19sChIJT7m1GKVLkUcRINYPTs2DqC0?authuser=0&hl=fr&rclk=1,4.6,11,Travaux généraux,6 Rue du Printemps,,0353640104,https://www.google.com/aclk?sa=L&ai=DChsSEwiqwtLsgr6UAxUALAYAHQWhKoQYACICCAEQABoCd3M&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XNm7vLpJ_-lgbJyY3HN3ZedSZZrPLYAj_B8QW2Vm88fOog2EtE_x3RoCC2oQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2yWXvarzdUp2psJs-z37UeT8W-yg&adurl&q&ctype=99&nis=6
bardage,SAED | Etanchéité | Couverture | Bardage | Désamiantage,https://www.google.com/maps/place/SAED+%7C+Etanch%C3%A9it%C3%A9+%7C+Couverture+%7C+Bardage+%7C+D%C3%A9samiantage/data=!4m7!3m6!1s0x4796ca4285229385:0x3e88355ae64e9811!8m2!3d48.5127267!4d7.7159292!16s%2Fg%2F1tdcw105!19sChIJhZMihULKlkcREZhO5lo1iD4?authuser=0&hl=fr&rclk=1,3.7,16,Entrepreneur spécialisé dans l'isolation,11 Rte du Cor de Chasse,,0388671937,https://saed-etancheite.fr/
