niche_source,company_name,google_maps_url,google_rating,google_review_count,category_google,address,city,phone,website,niche_assigned,city_matched,city_match_method
bardage,YASART - isolation extérieure | ravalement de façade,https://www.google.com/maps/place/YASART+-+isolation+ext%C3%A9rieure+%7C+ravalement+de+fa%C3%A7ade/data=!4m7!3m6!1s0x62eca5b23de5629b:0xb47c2b797b85641!8m2!3d48.6133063!4d7.7402639!16s%2Fg%2F11vf9bj81y!19sChIJm2LlPbKl7GIRQVa4l7fCRws?authuser=0&hl=fr&rclk=1,5.0,24,Entrepreneur spécialisé dans l'isolation,·,,0766521853,https://www.yasart.fr/,bardage,Strasbourg,gps_3km
bardage,Multi Travaux ALSACE,https://www.google.com/maps/place/Multi+Travaux+ALSACE/data=!4m7!3m6!1s0x4796c7dc5cdb6971:0xa7b26acf25441859!8m2!3d48.560618!4d7.737394!16s%2Fg%2F11cfgz8_1!19sChIJcWnbXNzHlkcRWRhEJc9qsqc?authuser=0&hl=fr&rclk=1,4.9,119,Entreprise de construction,76 Rue de la Plaine des Bouchers,,0388603165,https://www.google.com/aclk?sa=L&ai=DChsSEwiqwtLsgr6UAxUALAYAHQWhKoQYACICCAEQARoCd3M&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XLj7ZWskn1GrJSvGj5OgJ1gD8m-mQZZfkpwseq36WtRWmmJyHdWcpBoCU-kQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3pioW1RG3n0mhUHK2vbOiXDe-wag&adurl&q&ctype=99&nis=6,bardage,Strasbourg,gps_2km
bardage,Dupasquier & Bloino,https://www.google.com/maps/place/Dupasquier+%26+Bloino/data=!4m7!3m6!1s0x4796b92f477d6a57:0x8002505ccf0c6d53!8m2!3d48.6741374!4d7.7235928!16s%2Fg%2F11btmbnxcc!19sChIJV2p9Ry-5lkcRU20Mz1xQAoA?authuser=0&hl=fr&rclk=1,4.7,12,Couvreur,12 All. du Château de Sury,,0388974939,https://www.dupasquier-bloino.fr/,bardage,Strasbourg,gps_10km
bardage,SMC bois,https://www.google.com/maps/place/SMC+bois/data=!4m7!3m6!1s0x47e9770c20d0d7d3:0x392042bf232d32d8!8m2!3d49.2392431!4d4.0946062!16s%2Fg%2F11rzbg5nwc!19sChIJ09fQIAx36UcR2DItI79CIDk?authuser=0&hl=fr&rclk=1,4.8,157,Couvreur,·,,0326500322,http://www.smcbois.com/,bardage,Reims,gps_4km
bardage,Cibetanche - Reims 10,https://www.google.com/maps/place/Cibetanche+-+Reims+10/data=!4m7!3m6!1s0x47e976a297554d2d:0xd9979885c426a04!8m2!3d49.2318202!4d4.0807117!16s%2Fg%2F1thx_3mr!19sChIJLU1Vl6J26UcRBGpCXIh5mQ0?authuser=0&hl=fr&rclk=1,4.6,8,Entreprise de construction,·,,0326853549,http://cibetanche.fr/,bardage,Reims,name
bardage,Sarabela,https://www.google.com/maps/place/Sarabela/data=!4m7!3m6!1s0x47e97521cfb262a7:0x594e4864dc68f7e5!8m2!3d49.2410148!4d4.0573482!16s%2Fg%2F11vssdkpqj!19sChIJp2KyzyF16UcR5fdo3GRITlk?authuser=0&hl=fr&rclk=1,5.0,7,Couvreur,19b Av. Henri Farman,,0634251078,http://www.sarabela.fr/?utm_source=gmb,bardage,Reims,gps_2km
bardage,S.R.B.Isolation,https://www.google.com/maps/place/S.R.B.Isolation/data=!4m7!3m6!1s0x47e977fad808558b:0xc72042a2e9fbfc4f!8m2!3d49.238873!4d4.090165!16s%2Fg%2F11kp_8v1gt!19sChIJi1UI2Pp36UcRT_z76aJCIMc?authuser=0&hl=fr&rclk=1,4.9,159,Entrepreneur spécialisé dans l'isolation,·,,0667719884,https://www.isolation-51.fr/,bardage,Reims,gps_4km
bardage,Face Champagne-Ardenne,https://www.google.com/maps/place/Face+Champagne-Ardenne/data=!4m7!3m6!1s0x47e9753dbe6474f7:0x5a70bb2c4f9713fb!8m2!3d49.2692816!4d4.0011576!16s%2Fg%2F11gg67y6zq!19sChIJ93Rkvj116UcR-xOXTyy7cFo?authuser=0&hl=fr&rclk=1,4.8,4,Entreprise de construction,·,,0326778185,https://www.face-sa.fr/filiales/face-champagne-ardenne/,bardage,Reims,gps_2km
bardage,Aube Etanche,https://www.google.com/maps/place/Aube+Etanche/data=!4m7!3m6!1s0x47e9755aba2c7b17:0xa8af61a25c0d882a!8m2!3d49.2679594!4d3.995371!16s%2Fg%2F11llylqh9f!19sChIJF3ssulp16UcRKogNXKJhr6g?authuser=0&hl=fr&rclk=1,4.5,8,Couvreur,·,,0326823352,https://www.aube-etanche.fr/,bardage,Reims,gps_2km
bardage,BAT CONSEIL | Couverture Isolation,https://www.google.com/maps/place/BAT+CONSEIL+%7C+Couverture+Isolation/data=!4m7!3m6!1s0x47e9752c8658cc89:0xe99ecdb05a01e6d5!8m2!3d49.1935018!4d4.009853!16s%2Fg%2F1tf7f_9h!19sChIJicxYhix16UcR1eYBWrDNnuk?authuser=0&hl=fr&rclk=1,4.8,16,Entrepreneur spécialisé dans l'isolation,4 Rue des Verriats,,0326848869,http://www.bat-conseil.com/,bardage,Reims,gps_7km
bardage,Couvreur Reims Toiture,https://www.google.com/maps/place/Couvreur+Reims+Toiture/data=!4m7!3m6!1s0x47e97599cf98fe4b:0xbc811044ad4b6b3f!8m2!3d49.2560138!4d4.0274079!16s%2Fg%2F11nmrdkjgl!19sChIJS_6Yz5l16UcRP2tLrUQQgbw?authuser=0&hl=fr&rclk=1,5.0,8,Entrepreneur spécialisé dans l'isolation,52 Pl. Drouet d'Erlon,,0355405289,,bardage,Reims,name
bardage,Jaloux Habitat Evolution,https://www.google.com/maps/place/Jaloux+Habitat+Evolution/data=!4m7!3m6!1s0x47e9744eaeecd5ef:0x67edbbf3d69e2293!8m2!3d49.2486092!4d4.0404866!16s%2Fg%2F11b6dph6xk!19sChIJ79Xsrk506UcRkyKe1vO77Wc?authuser=0&hl=fr&rclk=1,4.8,16,Entrepreneur spécialisé dans l'isolation,·,,0326854832,https://www.jaloux-peinture.fr/,bardage,Reims,gps_1km
bardage,Piat Loick,https://www.google.com/maps/place/Piat+Loick/data=!4m7!3m6!1s0x47e9746b68afcceb:0x161860ae46e1d00a!8m2!3d49.2294586!4d4.0424368!16s%2Fg%2F11b6d5zr_5!19sChIJ68yvaGt06UcRCtDhRq5gGBY?authuser=0&hl=fr&rclk=1,5.0,3,Couvreur,24 Rue Paul Broca,,0648156043,,bardage,Reims,gps_3km
bardage,SD Couverture Reims,https://www.google.com/maps/place/SD+Couverture+Reims/data=!4m7!3m6!1s0x47e975898d100ed5:0xbca417ad3b6e4ca8!8m2!3d49.2342112!4d4.0682661!16s%2Fg%2F11rb9mdlzq!19sChIJ1Q4QjYl16UcRqExuO60XpLw?authuser=0&hl=fr&rclk=1,5.0,8,Couvreur,8 bis Rue Gabriel Voisin,,0776238373,https://www.sdcouverture51.fr/,bardage,Reims,name
bardage,ATTILA Reims Est,https://www.google.com/maps/place/ATTILA+Reims+Est/data=!4m7!3m6!1s0x47e976bd2afa60d1:0xf7d9a178aecf4fd5!8m2!3d49.239049!4d4.091452!16s%2Fg%2F11fzf8pyct!19sChIJ0WD6Kr126UcR1U_Prnih2fc?authuser=0&hl=fr&rclk=1,4.6,10,Couvreur,·,,0352626263,http://www.attila.fr/nos-agences/attila-reims-est?utm_source=Google&utm_medium=MyBusiness,bardage,Reims,name
bardage,Lariviere,https://www.google.com/maps/place/Lariviere/data=!4m7!3m6!1s0x47e9752bcad1577b:0xf26ff122a23fc364!8m2!3d49.258015!4d3.980695!16s%2Fg%2F1thw1h0v!19sChIJe1fRyit16UcRZMM_oiLxb_I?authuser=0&hl=fr&rclk=1,4.8,29,Magasin de materiaux de construction,·,,0326098883,https://www.lariviere.fr/trouver-votre-agence/lariviere-SEB/entry-445-lariviere-reims.html,bardage,Reims,gps_3km
bardage,BK BATIMENT 93 - Entreprise au Havre Façadier spécialiste du ravalement de façade et rejointoiement de brique - LE HAVRE,https://www.google.com/maps/place/BK+BATIMENT+93+-+Entreprise+au+Havre+Fa%C3%A7adier+sp%C3%A9cialiste+du+ravalement+de+fa%C3%A7ade+et+rejointoiement+de+brique+-+LE+HAVRE/data=!4m7!3m6!1s0x47e02fcac8f21671:0xeaa1ee6f456c1a36!8m2!3d49.5173865!4d0.1121902!16s%2Fg%2F11nt2n3t0z!19sChIJcRbyyMov4EcRNhpsRW_uoeo?authuser=0&hl=fr&rclk=1,4.9,64,Entrepreneur spécialisé dans l'isolation,·,,0769575268,http://www.bkbatiment.com/,bardage,Le Havre,name
bardage,"DUFOUR SAS - Couverture, Bardage, Plomberie","https://www.google.com/maps/place/DUFOUR+SAS+-+Couverture,+Bardage,+Plomberie/data=!4m7!3m6!1s0x47e02faa2efaaaab:0xfa356e461e4db2a2!8m2!3d49.4919311!4d0.132997!16s%2Fg%2F11g0tl0wmk!19sChIJq6r6Lqov4EcRorJNHkZuNfo?authuser=0&hl=fr&rclk=1",4.3,165,Couvreur,·,,0235243436,https://dufour.fr/,bardage,Le Havre,gps_1km
