niche_source,company_name,google_maps_url,google_rating,google_review_count,category_google,address,city,phone,website,niche_assigned,city_matched,city_match_method,competitors_count_lsa,_db_id,_db_call_count,_db_existing_custom_fields
bardage,"SIRAM Caen - Installation Fenêtres, Portes, Portails, Pergolas, Carports, Volets Menuiserie extérieure PVC, alu et bois","https://www.google.com/maps/place/SIRAM+Caen+-+Installation+Fen%C3%AAtres,+Portes,+Portails,+Pergolas,+Carports,+Volets+Menuiserie+ext%C3%A9rieure+PVC,+alu+et+bois/data=!4m7!3m6!1s0x480a6ffb50c7c949:0x6872bab7fd348c4f!8m2!3d49.1787348!4d-0.2174157!16s%2Fg%2F1v0lk4tb!19sChIJScnHUPtvCkgRT4w0_be6cmg?authuser=0&hl=fr&rclk=1",4.5,201,Menuisier,·,,0231390808,https://www.siram.fr/,cloture,Caen,name,2,47d5c8ac-0a86-4b37-a82a-1104d1e92c68,0,{}
bardage,Selection Bois,https://www.google.com/maps/place/Selection+Bois/data=!4m7!3m6!1s0x480571d9d5a98225:0x869933631dcf9a41!8m2!3d47.1890153!4d-2.1473796!16s%2Fg%2F1tfcbk4n!19sChIJJYKp1dlxBUgRQZrPHWMzmYY?authuser=0&hl=fr&rclk=1,4.8,57,Magasin de materiaux de construction,·,,0259102259,https://www.selection-bois.com/,bardage,Saint-Nazaire,gps_10km,2,580c69c2-dd6a-4dc2-af33-f9bc01737987,0,{}
bardage,Clôture Bardage Pro - M. Lorrain,https://www.google.com/maps/place/Cl%C3%B4ture+Bardage+Pro+-+M.+Lorrain/data=!4m7!3m6!1s0x4fd86315ca8413c7:0xf8e21e26277e9b76!8m2!3d49.352436!4d2.742502!16s%2Fg%2F11yd1zlzv9!19sChIJxxOEyhVj2E8Rdpt-JyYe4vg?authuser=0&hl=fr&rclk=1,5.0,17,Entrepreneur spécialisé dans les clôtures,764 Rue de la Pantoufière,,0749981786,,cloture,Compiègne,gps_9km,0,fab3557b-e1d4-4382-87a8-300d5027ec0c,0,{}
bardage,ID Bois - Terrasse - Clôture - Bardage - Abris - Carport - Parquet - Lambris - Sol stratifié - Sol Vinyle,https://www.google.com/maps/place/ID+Bois+-+Terrasse+-+Cl%C3%B4ture+-+Bardage+-+Abris+-+Carport+-+Parquet+-+Lambris+-+Sol+stratifi%C3%A9+-+Sol+Vinyle/data=!4m7!3m6!1s0x4805eb996a7baec5:0x9bd68bcf76780342!8m2!3d47.1877623!4d-1.5935584!16s%2Fg%2F113h1gdr5!19sChIJxa57apnrBUgRQgN4ds-L1ps?authuser=0&hl=fr&rclk=1,4.9,126,Négociant en bois,·,,0251706620,https://www.idbois.com/,cloture,Rezé,gps_1km,1,4741e86c-4849-4779-9a04-18d6b49c9313,0,{}
chauffagiste,A2G- Plombier a Rennes,https://www.google.com/maps/place/A2G-+Plombier+a+Rennes/data=!4m7!3m6!1s0x12b5ec46e3a93d13:0x32c7afedc92fa78b!8m2!3d48.1205077!4d-1.6657872!16s%2Fg%2F1tg2gwcf!19sChIJEz2p40bstRIRi6cvye2vxzI?authuser=0&hl=fr&rclk=1,4.6,38,Plombier,Rue de Fougères bis 90,,0679621725,http://www.a2gplomberie.fr/,chauffagiste,Rennes,name,2,e5dadfaf-e75a-4786-b033-4334aaec5fb6,0,{}
chauffagiste,SDG Services Chauffage Plomberie,https://www.google.com/maps/place/SDG+Services+Chauffage+Plomberie/data=!4m7!3m6!1s0x480edfb66a9bf2bb:0x8d384d0215c387ea!8m2!3d48.1250851!4d-1.6367723!16s%2Fg%2F11px8jdnc9!19sChIJu_KbarbfDkgR6ofDFQJNOI0?authuser=0&hl=fr&rclk=1,4.8,76,Chauffagiste,"Square de l, 5 Sq. Amiral André Roux",,0695423261,https://sdg-chauffage.fr/,chauffagiste,Rennes,gps_3km,2,cc0409fd-c94c-45d8-a9c8-0c7fd18b45ec,0,{}
chauffagiste,Artisan Dépannage des Usagers,https://www.google.com/maps/place/Artisan+D%C3%A9pannage+des+Usagers/data=!4m7!3m6!1s0x480ede24b3a797e7:0xda2fd5eb86f085f3!8m2!3d48.0884167!4d-1.6391781!16s%2Fg%2F1tg39hg_!19sChIJ55ensyTeDkgR84XwhuvVL9o?authuser=0&hl=fr&rclk=1,4.9,156,Chauffagiste,5 Rue Jean Monnet,,0698753535,http://www.depannage-electricite-plomberie-rennes.fr/,chauffagiste,Rennes,gps_3km,2,40df769d-6b0c-481d-8e45-3a5b9575ab3c,0,{}
chauffagiste,A.D.M Chauffage et Plomberie,https://www.google.com/maps/place/A.D.M+Chauffage+et+Plomberie/data=!4m7!3m6!1s0x480ee22b7dd3ffff:0xb343ed06bc40d1f9!8m2!3d48.0869902!4d-1.7394412!16s%2Fg%2F11pzklfmw5!19sChIJ___TfSviDkgR-dFAvAbtQ7M?authuser=0&hl=fr&rclk=1,4.9,117,Chauffagiste,·,,0783127394,https://www.adm-chauffageetplomberie.fr/contact,chauffagiste,Rennes,gps_5km,2,3425bdfc-4984-49e6-b595-635c760a7f90,0,{}
chauffagiste,"RG Énergies 35 – Plomberie, Chauffage, Électricité – Cintré / Rennes.","https://www.google.com/maps/place/RG+%C3%89nergies+35+%E2%80%93+Plomberie,+Chauffage,+%C3%89lectricit%C3%A9+%E2%80%93+Cintr%C3%A9+%2F+Rennes./data=!4m7!3m6!1s0x411895cb48a663a3:0x81d2af3c3dbfa448!8m2!3d48.103808!4d-1.886057!16s%2Fg%2F11vf0zdf5g!19sChIJo2OmSMuVGEERSKS_PTyv0oE?authuser=0&hl=fr&rclk=1",5.0,12,Plombier,20 La Barbais,,0602521579,https://www.google.com/aclk?sa=L&ai=DChsSEwiV4-mZvL2UAxUojWgJHQetCOcYACICCAEQAhoCd2Y&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XM465eYn_-Io2X0jXn45-R4sg3asVcT2J2FNWtuWfvgakc4tAgyY2hoCVhwQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0eJK8WX90Q3WZ_YGhfapB7QLVs6A&adurl&q&ctype=99&nis=6,chauffagiste,Rennes,name,2,4a0ff738-066a-46dc-a80e-a06ec824ecdb,0,{}
chauffagiste,LESPRIT REIGNER,https://www.google.com/maps/place/LESPRIT+REIGNER/data=!4m7!3m6!1s0x480edf3d33da24d9:0x4efeba6c6d0d044!8m2!3d48.0969251!4d-1.6523305!16s%2Fg%2F11j4lp0sjd!19sChIJ2STaMz3fDkgRRNDQxqbr7wQ?authuser=0&hl=fr&rclk=1,5.0,52,Plombier,"4 Rue le Dantec, 16 Rue du pré du bois",,0614300120,https://lesprit-reigner.fr/,chauffagiste,Rennes,gps_2km,2,89540972-d8a7-4178-b63c-f9837b78e3aa,0,{}
