id,company_name,phone,best_email,best_email_quality,dirigeant_prenom,dirigeant_nom,dirigeant_full,dirigeant_source,ville,niche,niche_source_csv,competitors_count_lsa,google_rating,google_review_count,category_google,website,google_maps_url,code_naf,siret,date_creation,tranche_effectif
38adf4d5-6694-4c49-9c61-33b1a39a5483,Aube Etanche,0326823352,aube.etanche@gmail.com,medium,Aube,Étanche,AUBE ÉTANCHE,mentions_legales,Reims,bardage,bardage,2,4.5,8,Couvreur,https://www.aube-etanche.fr/,https://www.google.com/maps/place/Aube+Etanche/data=!4m7!3m6!1s0x47e9755aba2c7b17:0xa8af61a25c0d882a!8m2!3d49.2679594!4d3.995371!16s%2Fg%2F11llylqh9f!19sChIJF3ssulp16UcRKogNXKJhr6g?authuser=0&hl=fr&rclk=1,,,,
6dd02eff-2c73-4a97-bf9e-99438cf57319,Lariviere,0326098883,info-lariviere@lariviere.fr,high,,,,,Reims,bardage,bardage,2,4.8,29,Magasin de materiaux de construction,https://www.lariviere.fr/trouver-votre-agence/lariviere-SEB/entry-445-lariviere-reims.html,https://www.google.com/maps/place/Lariviere/data=!4m7!3m6!1s0x47e9752bcad1577b:0xf26ff122a23fc364!8m2!3d49.258015!4d3.980695!16s%2Fg%2F1thw1h0v!19sChIJe1fRyit16UcRZMM_oiLxb_I?authuser=0&hl=fr&rclk=1,,,,
a3c4ca28-a29c-4e14-aee1-9289b31df33a,BK BATIMENT 93 - Entreprise au Havre Façadier spécialiste du ravalement de façade et rejointoiement de brique - LE HAVRE,0769575268,bkbati93@gmail.com,medium,Murat,Okcu,MURAT OKCU,siret_insee,Noisy-Le-Sec,bardage,bardage,2,4.9,64,Entrepreneur spécialisé dans l'isolation,http://www.bkbatiment.com/,https://www.google.com/maps/place/BK+BATIMENT+93+-+Entreprise+au+Havre+Fa%C3%A7adier+sp%C3%A9cialiste+du+ravalement+de+fa%C3%A7ade+et+rejointoiement+de+brique+-+LE+HAVRE/data=!4m7!3m6!1s0x47e02fcac8f21671:0xeaa1ee6f456c1a36!8m2!3d49.5173865!4d0.1121902!16s%2Fg%2F11nt2n3t0z!19sChIJcRbyyMov4EcRNhpsRW_uoeo?authuser=0&hl=fr&rclk=1,43.99C,92879772900029,2024-05-06,NN
1080338d-e399-4ab7-8651-4217d4f36cc4,SMC bois,0326500322,contact@smcbois.com,high,,,,,Reims,bardage,bardage,2,4.8,157,Couvreur,http://www.smcbois.com/,https://www.google.com/maps/place/SMC+bois/data=!4m7!3m6!1s0x47e9770c20d0d7d3:0x392042bf232d32d8!8m2!3d49.2392431!4d4.0946062!16s%2Fg%2F11rzbg5nwc!19sChIJ09fQIAx36UcR2DItI79CIDk?authuser=0&hl=fr&rclk=1,,,,
2aca875d-cfa2-4174-abe3-24580c6de2e2,Sarabela,0634251078,contact@sarabela.fr,high,,,,,Reims,bardage,bardage,2,5.0,7,Couvreur,http://www.sarabela.fr/?utm_source=gmb,https://www.google.com/maps/place/Sarabela/data=!4m7!3m6!1s0x47e97521cfb262a7:0x594e4864dc68f7e5!8m2!3d49.2410148!4d4.0573482!16s%2Fg%2F11vssdkpqj!19sChIJp2KyzyF16UcR5fdo3GRITlk?authuser=0&hl=fr&rclk=1,,,,
312f6ebd-3911-4d3c-a16f-4e23cf5a419f,ATTILA Reims Est,0352626263,contact@attila.fr,high,Nicolas,Etienne Nous Recrutons Du,Nicolas Etienne Nous recrutons Du,mentions_legales,Reims,bardage,bardage,2,4.6,10,Couvreur,http://www.attila.fr/nos-agences/attila-reims-est?utm_source=Google&utm_medium=MyBusiness,https://www.google.com/maps/place/ATTILA+Reims+Est/data=!4m7!3m6!1s0x47e976bd2afa60d1:0xf7d9a178aecf4fd5!8m2!3d49.239049!4d4.091452!16s%2Fg%2F11fzf8pyct!19sChIJ0WD6Kr126UcR1U_Prnih2fc?authuser=0&hl=fr&rclk=1,,,,
0ac7421c-4908-410f-9b11-af97c83f131b,S.R.B.Isolation,0667719884,contact.srbi51@gmail.com,medium,Mahmut,Kum,MAHMUT KUM,siret_insee,Cernay-Les-Reims,bardage,bardage,2,4.9,159,Entrepreneur spécialisé dans l'isolation,https://www.isolation-51.fr/,https://www.google.com/maps/place/S.R.B.Isolation/data=!4m7!3m6!1s0x47e977fad808558b:0xc72042a2e9fbfc4f!8m2!3d49.238873!4d4.090165!16s%2Fg%2F11kp_8v1gt!19sChIJi1UI2Pp36UcRT_z76aJCIMc?authuser=0&hl=fr&rclk=1,43.99C,80496071400041,2014-10-01,11
50b54399-2340-4699-a3b1-6a4aa891be07,EM BATIMENT - RGE ISOLATION PAR L'EXTÉRIEUR ET RAVALEMENT DE FAÇADE,0232851596,contact@embatiment.com,high,Mustapha,Aga,MUSTAPHA AGA,siret_insee,Le Havre,bardage,bardage,2,4.9,110,Entrepreneur spécialisé dans l'isolation,https://www.embatiment.com/,https://www.google.com/maps/place/EM+BATIMENT+-+RGE+ISOLATION+PAR+L%27EXT%C3%89RIEUR+ET+RAVALEMENT+DE+FA%C3%87ADE/data=!4m7!3m6!1s0x47e02fde590e2dcf:0xd1e45e007f403568!8m2!3d49.5203189!4d0.0818575!16s%2Fg%2F11fmd97cm9!19sChIJzy0OWd4v4EcRaDVAfwBe5NE?authuser=0&hl=fr&rclk=1,43.99C,84540011800038,2018-12-21,03
849c097d-fdda-4cbd-97a0-ca41f2cc7179,Cibetanche - Reims 10,0326853549,contact04@cibetanche.fr,high,Denis Rene Charles,Cannard,DENIS RENE CHARLES CANNARD,siret_insee,Bar-Sur-Aube,bardage,bardage,2,4.6,8,Entreprise de construction,http://cibetanche.fr/,https://www.google.com/maps/place/Cibetanche+-+Reims+10/data=!4m7!3m6!1s0x47e976a297554d2d:0xd9979885c426a04!8m2!3d49.2318202!4d4.0807117!16s%2Fg%2F1thx_3mr!19sChIJLU1Vl6J26UcRBGpCXIh5mQ0?authuser=0&hl=fr&rclk=1,43.99A,34925956400012,1989-01-07,11
d2726368-42a1-4bdd-aa74-fa4bdffe60a2,"DRM Rénovation Spécialiste isolation extérieure, Ravalement enduit projeté, Menuiseries et Carport proche LE HAVRE 76 RGE",0235240954,contact@drmrenovation.fr,high,,,,,Le Havre,bardage,bardage,2,4.8,167,Entrepreneur spécialisé dans l'isolation,https://www.drmrenovation.fr/,"https://www.google.com/maps/place/DRM+R%C3%A9novation+Sp%C3%A9cialiste+isolation+ext%C3%A9rieure,+Ravalement+enduit+projet%C3%A9,+Menuiseries+et+Carport+proche+LE+HAVRE+76+RGE/data=!4m7!3m6!1s0x47e0306592f276b1:0xfc3c8ab0aba66c70!8m2!3d49.5102499!4d0.2278141!16s%2Fg%2F11j2yq79vh!19sChIJsXbykmUw4EcRcGymq7CKPPw?authuser=0&hl=fr&rclk=1",,,,
dba66d48-f07b-423b-84c9-079bf6e49aaf,Face Champagne-Ardenne,0326778185,contact@face-sa.fr,high,Nicolas,Petit,Nicolas Petit,mentions_legales,Reims,bardage,bardage,2,4.8,4,Entreprise de construction,https://www.face-sa.fr/filiales/face-champagne-ardenne/,https://www.google.com/maps/place/Face+Champagne-Ardenne/data=!4m7!3m6!1s0x47e9753dbe6474f7:0x5a70bb2c4f9713fb!8m2!3d49.2692816!4d4.0011576!16s%2Fg%2F11gg67y6zq!19sChIJ93Rkvj116UcR-xOXTyy7cFo?authuser=0&hl=fr&rclk=1,,,,
1ffbbe4b-309e-4d50-83c2-61e5ae21f0cb,Jaloux Habitat Evolution,0326854832,kp.design@orange.fr,medium,Yannick Rene Maurice Luc,Bertaux,YANNICK RENE MAURICE LUC BERTAUX,siret_insee,Reims,bardage,bardage,2,4.8,16,Entrepreneur spécialisé dans l'isolation,https://www.jaloux-peinture.fr/,https://www.google.com/maps/place/Jaloux+Habitat+Evolution/data=!4m7!3m6!1s0x47e9744eaeecd5ef:0x67edbbf3d69e2293!8m2!3d49.2486092!4d4.0404866!16s%2Fg%2F11b6dph6xk!19sChIJ79Xsrk506UcRkyKe1vO77Wc?authuser=0&hl=fr&rclk=1,43.34Z,53217869600029,2011-05-09,11
4b9498d7-6561-4e9d-a04a-eaede391c75e,SD Couverture Reims,0776238373,sdcouverture51@gmail.com,medium,,,,,Reims,bardage,bardage,2,5.0,8,Couvreur,https://www.sdcouverture51.fr/,https://www.google.com/maps/place/SD+Couverture+Reims/data=!4m7!3m6!1s0x47e975898d100ed5:0xbca417ad3b6e4ca8!8m2!3d49.2342112!4d4.0682661!16s%2Fg%2F11rb9mdlzq!19sChIJ1Q4QjYl16UcRqExuO60XpLw?authuser=0&hl=fr&rclk=1,,,,
