niche_source,company_name,google_maps_url,google_rating,google_review_count,category_google,address,city,phone,website,niche_strict,confidence_score
bardage,ADER BARDAGE,https://www.google.com/maps/place/ADER+BARDAGE/data=!4m7!3m6!1s0x4796c74e634fb275:0xfec52216b726a444!8m2!3d48.658054!4d7.829006!16s%2Fg%2F11p0ckbg7p!19sChIJdbJPY07HlkcRRKQmtxYixf4?authuser=0&hl=fr&rclk=1,3.7,3,Entrepreneur spécialisé dans l'isolation,13 Rue du Château d'Angleterre,,0367100442,https://ader-bardage.fr/,bardage,4
bardage,Sarl Toiture Bardage d'Alsace,https://www.google.com/maps/place/Sarl+Toiture+Bardage+d%27Alsace/data=!4m7!3m6!1s0x4796c84a4f1944a3:0x6d58807f4cba3f4f!8m2!3d48.5832912!4d7.7373622!16s%2Fg%2F11c55tsrh3!19sChIJo0QZT0rIlkcRTz-6TH-AWG0?authuser=0&hl=fr&rclk=1,,,Entreprise de construction,14 Rue de la Course,,0760046940,,bardage,7
bardage,SOPREMA Entreprises et services SOPRASSISTANCE,https://www.google.com/maps/place/SOPREMA+Entreprises+et+services+SOPRASSISTANCE/data=!4m7!3m6!1s0x4796cb6f3286b563:0x51dc4db026e385a2!8m2!3d48.5355697!4d7.7873661!16s%2Fg%2F11sh55cf3t!19sChIJY7WGMm_LlkcRooXjJrBN3FE?authuser=0&hl=fr&rclk=1,3.8,38,Entreprise d'étanchéité,·,,0388798479,https://www.soprema-entreprises.fr/entite/agence/entreprise-etancheite-strasbourg/?utm_source=gmb,bardage,6
bardage,YASART - isolation extérieure | ravalement de façade,https://www.google.com/maps/place/YASART+-+isolation+ext%C3%A9rieure+%7C+ravalement+de+fa%C3%A7ade/data=!4m7!3m6!1s0x62eca5b23de5629b:0xb47c2b797b85641!8m2!3d48.6133063!4d7.7402639!16s%2Fg%2F11vf9bj81y!19sChIJm2LlPbKl7GIRQVa4l7fCRws?authuser=0&hl=fr&rclk=1,5.0,24,Entrepreneur spécialisé dans l'isolation,·,,0766521853,https://www.yasart.fr/,bardage,13
bardage,SAED | Etanchéité | Couverture | Bardage | Désamiantage,https://www.google.com/maps/place/SAED+%7C+Etanch%C3%A9it%C3%A9+%7C+Couverture+%7C+Bardage+%7C+D%C3%A9samiantage/data=!4m7!3m6!1s0x4796ca4285229385:0x3e88355ae64e9811!8m2!3d48.5127267!4d7.7159292!16s%2Fg%2F1tdcw105!19sChIJhZMihULKlkcREZhO5lo1iD4?authuser=0&hl=fr&rclk=1,3.7,16,Entrepreneur spécialisé dans l'isolation,11 Rte du Cor de Chasse,,0388671937,https://saed-etancheite.fr/,bardage,13
bardage,Pro Alsace Etanchéité,https://www.google.com/maps/place/Pro+Alsace+Etanch%C3%A9it%C3%A9/data=!4m7!3m6!1s0x4796c96b54fe8a5f:0x63b4332a3c1db002!8m2!3d48.6187733!4d7.7323714!16s%2Fg%2F11r3mjjjsb!19sChIJX4r-VGvJlkcRArAdPCoztGM?authuser=0&hl=fr&rclk=1,4.5,8,Travaux généraux,19 Rue de Lampertheim,,0695213696,,bardage,6
bardage,Oswald Couverture SARL,https://www.google.com/maps/place/Oswald+Couverture+SARL/data=!4m7!3m6!1s0x4796c984beb496a3:0xe2661db48d6aded4!8m2!3d48.5934858!4d7.720842!16s%2Fg%2F11rwp2mnxm!19sChIJo5a0voTJlkcR1N5qjbQdZuI?authuser=0&hl=fr&rclk=1,4.3,7,Couvreur,1 Rue de la Charrue,,0388441993,https://www.oswaldcouverture.fr/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14061741873775828727,bardage,6
bardage,Technik Bardage et Couverture,https://www.google.com/maps/place/Technik+Bardage+et+Couverture/data=!4m7!3m6!1s0x4796c312967cbc5d:0xfbc09ebe7694f37f!8m2!3d48.7910429!4d7.8392348!16s%2Fg%2F11fktyzznk!19sChIJXbx8lhLDlkcRf_OUdr6ewPs?authuser=0&hl=fr&rclk=1,5.0,1,Couvreur,1 Rue de la Moder,,0608422849,http://www.technik-bardage.fr/,bardage,9
bardage,BEYER ETANCHEITE,https://www.google.com/maps/place/BEYER+ETANCHEITE/data=!4m7!3m6!1s0x4796b5fb53674867:0x93309caa7201e934!8m2!3d48.540838!4d7.6444396!16s%2Fg%2F1tlbhhrl!19sChIJZ0hnU_u1lkcRNOkBcqqcMJM?authuser=0&hl=fr&rclk=1,2.8,27,Entreprise d'étanchéité,·,,0388653165,https://groupe-beyer.com/beyer-etancheite-2/,bardage,6
bardage,Spitzer M.D.E. Couverture Zinguerie,https://www.google.com/maps/place/Spitzer+M.D.E.+Couverture+Zinguerie/data=!4m7!3m6!1s0x4796c99967d17e19:0xf2dbc46dab262d1c!8m2!3d48.5544044!4d7.7388933!16s%2Fg%2F1v8g9zjm!19sChIJGX7RZ5nJlkcRHC0mq23E2_I?authuser=0&hl=fr&rclk=1,3.7,3,Couvreur,15 Rue des Frères Eberts,,0388842521,,bardage,9
bardage,Dupasquier & Bloino,https://www.google.com/maps/place/Dupasquier+%26+Bloino/data=!4m7!3m6!1s0x4796b92f477d6a57:0x8002505ccf0c6d53!8m2!3d48.6741374!4d7.7235928!16s%2Fg%2F11btmbnxcc!19sChIJV2p9Ry-5lkcRU20Mz1xQAoA?authuser=0&hl=fr&rclk=1,4.7,12,Couvreur,12 All. du Château de Sury,,0388974939,https://www.dupasquier-bloino.fr/,bardage,3
bardage,DSH Bardage,https://www.google.com/maps/place/DSH+Bardage/data=!4m7!3m6!1s0x610b81bd4ab450e7:0xafa02de193ea08ce!8m2!3d48.24906!4d7.5372876!16s%2Fg%2F11q9s6tdkc!19sChIJ51C0Sr2BC2ERzgjqk-EtoK8?authuser=0&hl=fr&rclk=1,5.0,12,Artisanat,·,,0766680666,,bardage,3
