niche_source,company_name,google_maps_url,google_rating,google_review_count,category_google,address,city,phone,website,niche_strict,confidence_score,city_matched,phone_norm,competitors_count_lsa
bardage,Couvreur Reims Toiture,https://www.google.com/maps/place/Couvreur+Reims+Toiture/data=!4m7!3m6!1s0x47e97599cf98fe4b:0xbc811044ad4b6b3f!8m2!3d49.2560138!4d4.0274079!16s%2Fg%2F11nmrdkjgl!19sChIJS_6Yz5l16UcRP2tLrUQQgbw?authuser=0&hl=fr&rclk=1,5.0,8,Entrepreneur spécialisé dans l'isolation,52 Pl. Drouet d'Erlon,,0355405289,,bardage,7,Reims,0355405289,2
bardage,Toiture Béthel,https://www.google.com/maps/place/Toiture+B%C3%A9thel/data=!4m7!3m6!1s0x47e02f278c457963:0x5d4d571478fb8ed2!8m2!3d49.4930526!4d0.1152274!16s%2Fg%2F11nc10q4rq!19sChIJY3lFjCcv4EcR0o77eBRXTV0?authuser=0&hl=fr&rclk=1,5.0,3,Services de nettoyage,113 Bd de Strasbourg,,0628364039,,bardage,3,Strasbourg,0628364039,2
bardage,Toiture Jacquin - Couvreur Le Havre 76600,https://www.google.com/maps/place/Toiture+Jacquin+-+Couvreur+Le+Havre+76600/data=!4m7!3m6!1s0x47e02f5f646c3eed:0xcb3c77094999ad3c!8m2!3d49.5159103!4d0.169489!16s%2Fg%2F11vlm6h7rs!19sChIJ7T5sZF8v4EcRPK2ZSQl3PMs?authuser=0&hl=fr&rclk=1,4.9,131,Couvreur,88 Av. du 8 Mai 1945,,0603844998,https://www.facebook.com/213677405162549?utm_source=gmb,bardage,6,Le Havre,0603844998,2
bardage,Cadiou Couverture (couvreur Dijon 21),https://www.google.com/maps/place/Cadiou+Couverture+%28couvreur+Dijon+21%29/data=!4m7!3m6!1s0x47f29fbd1da05cb5:0xf5ccc625a15eb06f!8m2!3d47.2765408!4d5.1167589!16s%2Fg%2F11rtm43_wf!19sChIJtVygHb2f8kcRb7BeoSXGzPU?authuser=0&hl=fr&rclk=1,4.8,17,Couvreur,5 Rue Alexandra David Neel,,0633211868,https://www.facebook.com/profile.php?id=100077162592218&sk=about,bardage,6,Dijon,0633211868,2
bardage,F.T Couverture Rénovation à Dijon - Couvreur 21 : Réparation Nettoyage Dépannage Fuites Remplacement Toiture Côte-d'Or,https://www.google.com/maps/place/F.T+Couverture+R%C3%A9novation+%C3%A0+Dijon+-+Couvreur+21+:+R%C3%A9paration+Nettoyage+D%C3%A9pannage+Fuites+Remplacement+Toiture+C%C3%B4te-d%27Or/data=!4m7!3m6!1s0x47ed63213df8e085:0x44697b1838f9eeb7!8m2!3d47.3712668!4d5.0509537!16s%2Fg%2F11r_thr4dz!19sChIJheD4PSFj7UcRt-75OBh7aUQ?authuser=0&hl=fr&rclk=1,5.0,10,Couvreur,200 Rte de Langres,,0640732610,https://www.ft-couverturerenovation.fr/,bardage,13,Dijon,0640732610,2
bardage,Artisan toiture - Couvreur Zingueur - Adrien RAMES - Nimes (30),https://www.google.com/maps/place/Artisan+toiture+-+Couvreur+Zingueur+-+Adrien+RAMES+-+Nimes+%2830%29/data=!4m7!3m6!1s0x12b42fe89df0f433:0x108a721bd14b31f1!8m2!3d43.820086!4d4.300583!16s%2Fg%2F11nccxk1wm!19sChIJM_TwnegvtBIR8TFL0RtyihA?authuser=0&hl=fr&rclk=1,5.0,48,Couvreur,300 Chemin du Mas de Vedelin,,0612957234,https://www.google.com/aclk?sa=L&ai=DChsSEwiYz7H-g76UAxU3X0ECHdpOBLIYACICCAEQCBoCd3M&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XEM0sCeUrf6BpXQt8yWaJARoLuCl6pnmv4luIc5QQl7Ia0Z2GEdCEhoCdFUQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1-xAqgbx_1juqvz9I4wAfKTOzyRg&adurl&q&ctype=99&nis=6,bardage,6,Nîmes,0612957234,2
bardage,"Masclaux Toiture - Charpentier, Couvreur, Zingueur - Nîmes, Alès, Uzès","https://www.google.com/maps/place/Masclaux+Toiture+-+Charpentier,+Couvreur,+Zingueur+-+N%C3%AEmes,+Al%C3%A8s,+Uz%C3%A8s/data=!4m7!3m6!1s0x12b43b1f6c43d66b:0xb93e593f191bd917!8m2!3d43.9428155!4d4.0798688!16s%2Fg%2F11c209rvfj!19sChIJa9ZDbB87tBIRF9kbGT9ZPrk?authuser=0&hl=fr&rclk=1",4.9,17,Charpentier,route de Quissac,,0466351943,https://www.masclauxtoiture.fr/,bardage,6,Nîmes,0466351943,2
bardage,LJ Couverture-Couvreur Le Mans 72 Sarthe Nettoyage toiture-Étanchéité-fuites-traitement de charpente,https://www.google.com/maps/place/LJ+Couverture-Couvreur+Le+Mans+72+Sarthe+Nettoyage+toiture-%C3%89tanch%C3%A9it%C3%A9-fuites-traitement+de+charpente/data=!4m7!3m6!1s0x47e289fedc9e640b:0xdfc9f8be64afafc7!8m2!3d48.0243018!4d0.2027295!16s%2Fg%2F11wwzd2ybf!19sChIJC2Se3P6J4kcRx6-vZL74yd8?authuser=0&hl=fr&rclk=1,5.0,134,Entrepreneur spécialisé dans l'isolation,5 Rue de la Paix,,0628573196,https://ets-leffray.e-monsite.com/,bardage,16,Le Mans,0628573196,2
bardage,Ets Gronier Père et Fils Couverture Zinguerie Vélux Gouttière Bac acier Couvreur Amiens Vignacourt Longueau Camon Boves Dury,https://www.google.com/maps/place/Ets+Gronier+P%C3%A8re+et+Fils+Couverture+Zinguerie+V%C3%A9lux+Goutti%C3%A8re+Bac+acier+Couvreur+Amiens+Vignacourt+Longueau+Camon+Boves+Dury/data=!4m7!3m6!1s0x47dd8d2579fe93c7:0xafed475e6ea03d82!8m2!3d49.8938567!4d2.3041294!16s%2Fg%2F11mbq15hbh!19sChIJx5P-eSWN3UcRgj2gbl5H7a8?authuser=0&hl=fr&rclk=1,4.9,65,Couvreur,1 Rue Adéodat Lefevre,,0618290432,https://etsgronierpereetfils.wixsite.com/couvreuramiens,bardage,9,Amiens,0618290432,2
bardage,David Etanchéité - Amiens (80),https://www.google.com/maps/place/David+Etanch%C3%A9it%C3%A9+-+Amiens+%2880%29/data=!4m7!3m6!1s0x47e7eff603a57901:0x6ff811b006eb24d5!8m2!3d49.8141542!4d2.7117018!16s%2Fg%2F11h6dhtmwn!19sChIJAXmlA_bv50cR1STrBrAR-G8?authuser=0&hl=fr&rclk=1,4.8,21,Couvreur,1 Rue Edith Piaf,,0686608209,http://www.david-etancheite.fr/,bardage,9,Amiens,0686608209,2
