id,company_name,phone,best_email,best_email_quality,dirigeant_prenom,dirigeant_nom,dirigeant_full,dirigeant_source,ville,niche,niche_source_csv,competitors_count_lsa,google_rating,google_review_count,category_google,website,google_maps_url,code_naf,siret,date_creation,tranche_effectif,_reason
6dd02eff-2c73-4a97-bf9e-99438cf57319,Lariviere,0326098883,info-lariviere@lariviere.fr,high,,,,,Reims,bardage,bardage,2,4.8,29,Magasin de materiaux de construction,https://www.lariviere.fr/trouver-votre-agence/lariviere-SEB/entry-445-lariviere-reims.html,https://www.google.com/maps/place/Lariviere/data=!4m7!3m6!1s0x47e9752bcad1577b:0xf26ff122a23fc364!8m2!3d49.258015!4d3.980695!16s%2Fg%2F1thw1h0v!19sChIJe1fRyit16UcRZMM_oiLxb_I?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
849c097d-fdda-4cbd-97a0-ca41f2cc7179,Cibetanche - Reims 10,0326853549,contact04@cibetanche.fr,high,Denis Rene Charles,Cannard,DENIS RENE CHARLES CANNARD,siret_insee,Bar-Sur-Aube,bardage,bardage,2,4.6,8,Entreprise de construction,http://cibetanche.fr/,https://www.google.com/maps/place/Cibetanche+-+Reims+10/data=!4m7!3m6!1s0x47e976a297554d2d:0xd9979885c426a04!8m2!3d49.2318202!4d4.0807117!16s%2Fg%2F1thx_3mr!19sChIJLU1Vl6J26UcRBGpCXIh5mQ0?authuser=0&hl=fr&rclk=1,43.99A,34925956400012,1989-01-07,11,aucun mot-clé OK dans cat='entreprise de construction'
dba66d48-f07b-423b-84c9-079bf6e49aaf,Face Champagne-Ardenne,0326778185,contact@face-sa.fr,high,Nicolas,Petit,Nicolas Petit,mentions_legales,Reims,bardage,bardage,2,4.8,4,Entreprise de construction,https://www.face-sa.fr/filiales/face-champagne-ardenne/,https://www.google.com/maps/place/Face+Champagne-Ardenne/data=!4m7!3m6!1s0x47e9753dbe6474f7:0x5a70bb2c4f9713fb!8m2!3d49.2692816!4d4.0011576!16s%2Fg%2F11gg67y6zq!19sChIJ93Rkvj116UcR-xOXTyy7cFo?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction'
ba7c37c9-6f00-4dd0-8d3b-49326cf245a1,Bâti-Tech Rénovation & Aménagement à Dijon,0380435663,contact@bati-tech.fr,high,Est Dimitri Ci-Après L,Pierre,est PIERRE Dimitri ci-après l,mentions_legales,Dijon,bardage,bardage,2,5.0,4,Entreprise de construction,https://bati-tech.fr/,https://www.google.com/maps/place/B%C3%A2ti-Tech+R%C3%A9novation+%26+Am%C3%A9nagement+%C3%A0+Dijon/data=!4m7!3m6!1s0x47ed63255f29e201:0xba41c06a2b3f3b0!8m2!3d47.3433528!4d4.997278!16s%2Fg%2F11tt8fwp8r!19sChIJAeIpXyVj7UcRsPOzogYcpAs?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction'
43834920-3092-4a54-bf21-d26c9ca90bf0,BCF Habitat - UNISO - Le Mans,0243013671,communication@groupebcf.fr,low,Laurent,Allard,LAURENT ALLARD (ALLARD),siret_insee,Roubaix,bardage,bardage,2,4.9,30,Entreprise de construction,https://www.bcfhabitat.fr/,https://www.google.com/maps/place/BCF+Habitat+-+UNISO+-+Le+Mans/data=!4m7!3m6!1s0x47e28f3def8d0fd7:0x3d880877cf118c4b!8m2!3d47.980168!4d0.1938127!16s%2Fg%2F11c53020qz!19sChIJ1w-N7z2P4kcRS4wRz3cIiD0?authuser=0&hl=fr&rclk=1,63.11Z,42476141900045,1999-10-15,42,aucun mot-clé OK dans cat='entreprise de construction'
a6150f46-d10e-4a33-9802-c2b5e8b15f84,Ets BOBET,0243478268,commercial@charpentebobet.fr,low,,,,,Le Mans,bardage,bardage,2,4.5,8,Entreprise de construction métallique,https://www.charpentemetallique-bobet.fr/,https://www.google.com/maps/place/Ets+BOBET/data=!4m7!3m6!1s0x47e284e8368fd31b:0x3022705c667f1698!8m2!3d47.9429283!4d0.1105252!16s%2Fg%2F1tgdbq0_!19sChIJG9OPNuiE4kcRmBZ_ZlxwIjA?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction métallique'
22c1c73e-dbf6-45f6-8e7e-5249d1c67e95,APOK Amiens,0322666868,info@fedrusinternational.com,low,,,,,Amiens,bardage,bardage,2,4.5,44,Magasin de materiaux de construction,https://www.apok.fr/,https://www.google.com/maps/place/APOK+Amiens/data=!4m7!3m6!1s0x47e786ceca25da5f:0xeb76969b7c2c9fec!8m2!3d49.9342936!4d2.2687549!16s%2Fg%2F11h2f71hm5!19sChIJX9olys6G50cR7J8sfJuWdus?authuser=0&hl=fr&rclk=1,,41904254400025,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
ffaf037d-0256-4929-9f19-18b210a8c152,FERNAGUT - FLIXECOURT,0322086192,web@ets-fernagut.fr,low,Gregory,Loyez,GREGORY LOYEZ,siret_insee,Saint-Michel-Sur-Ternoise,bardage,bardage,2,5.0,14,Magasin de materiaux de construction,http://www.fernagut.com/,https://www.google.com/maps/place/FERNAGUT+-+FLIXECOURT/data=!4m7!3m6!1s0x47dd87ce45c6826d:0x7cb795beb0dd633d!8m2!3d50.0357866!4d2.0638516!16s%2Fg%2F11tjzyql2_!19sChIJbYLGRc6H3UcRPWPdsL6Vt3w?authuser=0&hl=fr&rclk=1,46.74A,38148036700014,1991-03-01,22,aucun mot-clé OK dans cat='magasin de materiaux de construction'
2d401444-1271-4942-8dd4-1a91fab6aa2e,MPM,0681677324,monprojetmenuiserie@gmail.com,medium,,,,,Perpignan,bardage,bardage,2,5.0,8,Atelier de menuiserie,https://www.monprojetmenuiserie.fr/,https://www.google.com/maps/place/MPM/data=!4m7!3m6!1s0x12b0731a8a856667:0xbc7146abb1006783!8m2!3d42.658866!4d2.8306973!16s%2Fg%2F11vq3vlv1y!19sChIJZ2aFihpzsBIRg2cAsatGcbw?authuser=0&hl=fr&rclk=1,,,,,category contient 'atelier de menuiserie'
2f4db665-30d5-4593-b2ae-949aa34bceb2,Les Bois d'Ensisheim,0389763427,contact@lesboisdensisheim.fr,high,,,,,Mulhouse,bardage,bardage,2,4.6,46,Magasin de materiaux de construction,https://www.lesboisdensisheim.fr/,https://www.google.com/maps/place/Les+Bois+d%27Ensisheim/data=!4m7!3m6!1s0x479177803a55c617:0xe592d2631b3d98e4!8m2!3d47.875705!4d7.3349803!16s%2Fg%2F11h4kx97g6!19sChIJF8ZVOoB3kUcR5Jg9G2PSkuU?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
